,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
14573,Board Governance,,,"Describe your organization's leadership (board and staff), governance, by-laws, and procedures.","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,179,,0.44,&&&,,,,,,,,,,,
14574,Leadership & Management,"How often does the board meet? Provide a list of board committees that are in place, if any, and how often each meets? Does the board reflect the population served?",,"In a few sentences, describe your board's strengths and weaknesses.","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,180,,0.44,&&&,,,,,,,,,,,
14601,,,,"How your organization’s work aligns with our Empathy Building initiative programs, approaches, and priorities?a Audience and Geographic Reach?",What the Organization Does,What the Organization Does,What the Organization Does,,190,,0.44,&&&,,,,,,,,,,,
14602,,,,"How do you build relationships with the communities you serve/focus
    on? How do you center the agency and perspectives of workers in your
    programs and solutions",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,191,,0.44,&&&,,,,,,,,,,,
14603,Proposed Activities Describe what you will do with the proposed funding and how you will do it.,,,"For General Operating Support, what programs and services will
  you offer?

For Program Specific requests, describe the specific
  program activities and services. Are you using a strategy that has been proven effective by research? 

Describe the populations served by the proposed work - how many people are expected to benefit from the activities?","Organizational Budgeting, Revenue Practices, and Forecasts",Project Demographics/Orientation/Status,Project Demographics/Orientation/Status,,192,,0.44,&&&,,,,,,,,,,,
14604,Community Network,"_Please note, if this request is for a specific project/program, address the answer to just that program._",,"What other services in the community does your organization work with
  to support your clients? 

Assuming no one organization can meet all the needs for all those served, what other alliances or partnerships exist to help achieve program success?",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,193,,0.44,&&&,,,,,,,,,,,
14609,,,,"Please describe what your organization believes are the underlying causes that have led to the challenges in
the area in which you work. If you are a returning grant applicant, please describe how the underlying causes
may have shifted or changed since your last grant submission",What the Organization Does,What the Organization Does,What the Organization Does,,196,,0.44,&&&,,,,,,,,,,,
14614,,,,"Describe the diversity of your leadership/project team, particularly as it relates to your ability to serve the intended audience","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,199,,0.44,&&&,,,,,,,,,,,
14615,,,,"How does the demographic makeup of your organization and leadership
  team relate to the demographic makeup of those you intend on serving
  with this grant award","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,200,,0.44,&&&,,,,,,,,,,,
14616,,,,"In addition to grant dollars, how might the <REDACTED> Foundation
support your team to reach your goals and/or mitigate challenges",Alternative Supports,Alternative Supports,Alternative Supports,,201,,0.44,&&&,,,,,,,,,,,
14621,,,,"Discuss how your organization is well-suited to lead the proposed work, reflecting
on the organization's capacity and competency to deliver equitable outcomes",What the Organization Does,What the Organization Does,What the Organization Does,,204,,0.44,&&&,,,,,,,,,,,
14632,,,,"How do you measure the effectiveness of this program/project, in
        terms of impact/outcomes and use of resources","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,209,,0.44,&&&,,,,,,,,,,,
14639,,,X,Describe how the activity or service relates to the organization's mission,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,212,,0.44,&&&,,,,,,,,,,,
14660,,,,How will you monitor and track the objectives of the project,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,220,,0.44,&&&,,,,,,,,,,,
14663,,,,Provide a least 3 SMART project objectives,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,222,,0.44,&&&,,,,,,,,,,,
14664,,,,"Provide 2-3 tangible ways in which your organization is practicing
    spiritual intentionality within the project",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,223,,0.44,&&&,,,,,,,,,,,
14665,,,,Identify up to five priority outcomes your organization plans to achieve with this project,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,224,,0.44,&&&,,,,,,,,,,,
14668,,,,"REFERENCES: PLEASE PROVIDE THE NAME(S) OF UP TO FIVE EXTERNAL CONTACT(S)
WHO CAN SERVE AS A REFERENCE FOR YOUR ORGANIZATION",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,226,,0.44,&&&,,,,,,,,,,,
14671,,,,Please list your top 3 trust funders,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,228,,0.44,&&&,,,,,,,,,,,
14674,,,,PLEASE TYPE YOUR ORGANIZATION'S NAME IN THIS CELL,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,230,,0.44,&&&,,,,,,,,,,,
14675,,,,Please list any local press in your organization’s area,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,231,,0.44,&&&,,,,,,,,,,,
14691,,,,"How much funding has been secured towards projected
expenditure in this financial year",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,237,,0.44,&&&,,,,,,,,,,,
14692,,,,"On what date did they approve the budget for
the current fiscal year",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,238,,0.44,&&&,,,,,,,,,,,
14702,,,,"INCLUDE THE NAME, AMOUNT
  AND PERCENT OF YOUR ORGANIZATION'S OPERATING BUDGET","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,242,,0.44,&&&,,,,,,,,,,,
14714,,,,"What other organisations/statutory bodies refer _TO_ your <REDACTED>
  projects/services",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,245,,0.44,&&&,,,,,,,,,,,
14717,,,,Who has legal authority to execute a grant agreement on behalf of your organization,"Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,247,,0.44,&&&,,,,,,,,,,,
14722,,,,"If you are serving as the Lead Organization in a collaborative effort, please list partner(s) here",Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,250,,0.44,&&&,,,,,,,,,,,
14723,,,,"If your organization has a core ensemble of artists, percentage who identify as BIPOC",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,251,,0.44,&&&,,,,,,,,,,,
14731,How would you staff the proposed project?,,,"Identify who would lead it and his/her position in your organization.

Also include the number of staff and/or volunteers.

How many new staff, if any, would be needed?",Demographic/Orientation/Status,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,255,,0.44,&&&,,,,,,,,,,,
14732,,,,"How many new
  staff, if any, would be needed",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,256,,0.44,&&&,,,,,,,,,,,
14735,,,,"Have you explored collaborating or partnering with any existing
    groups or organizations in the region who address a similar need to
    the one you have identified? What steps have you taken to explore
    the work of other groups and what did you learn",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,258,,0.44,&&&,,,,,,,,,,,
14736,,,,"Has your organization experienced a merger, division, or other substantive
reorganization in the past 12 months, or, to the best of your knowledge, is your
organization planning a substantive organizational change (including dissolution) in the
next 12 months",What the Organization Does,What the Organization Does,What the Organization Does,,259,,0.44,&&&,,,,,,,,,,,
14737,,,,"Do you share space, staff, or other resources, or have a special affiliation (for instance,
a significant overlap in board members) with a non-charitable entity (e.g., a Section 501(c)
(4) organization or a for-profit entity)? If so, please include a brief description below",Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,260,,0.44,&&&,,,,,,,,,,,
14738,,,,We ask you to update us on any exciting developments or highlights your organization has experienced since we last checked in,biographical and Organizational info,biographical and Organizational info,Organizational Biographical and General Information,,261,,0.44,&&&,,,,,,,,,,,
