left_context,question,right_context,identifier
,"Please provide any additional necessary details not captured in the above budget. For example, if the above budget is a multi-year budget, please indicate the number of years the budget covers.

Fringe benefits included at 24% of gross salaries. Includes employer FICA, health and dental insurance for each FTE, life insurance at 0.36% of salaries, short and long-term disability insurance, 401(k) plan match at 4% of salaries, unemployment insurance, and workers compensation.",,4966
,Identify the age group to be served by the proposed grant,,4943
,Who will be directly served by the proposed grant,,4940
,Select one area of community vitality from the list that best describes the focus of your grant request,,4931
,Expense Amount,,4953
,Board/Committee List,,13768
,"Number of: Full-time paid staff Part-time paid staff Volunteers Others assisting/types of assistance (e.g.,
Vistas, interns, <REDACTED> consultants, etc.)",,13762
,Proposal Details,,13769
,Why is your organization best suited to do this work,,4938
,Current year-to-date income and expense statement,,13767
,What is your organization's current financial situation? What financial changes do you foresee in the future,,4946
,Rent and utilities,,13834
,Total Expense,,13843
,Program Manager,,4962
,Program Director,,4961
,"Describe your organization. Indicate what percentage of your services benefit the <REDACTED>, <REDACTED> and other
locations",,13758
,Indirect Charges,,13841
Finances,Evaluation services,,13825
Finances,Software,,13824
Finances,Postage and delivery,,13831
,Year-end statement of income and balance sheet,,13766
Finances,Client Transportation,,13839
,Partnerships,,2968
,Fiscal Agent,,3006
,Performance Measure #1,,10084
Describe what grant funds will be used for in one sentence.,Use of Funds,,2924
,"Describe your request, how it fits within your overall organizational strategy, and how it relates
to the community opportunity described below",,2950
,"Are more than 50% of the population served by your organization:

Black
People of Color
Neither
Prefer not to say",,2940
,Performance Measure #,,2988
,Name of fiscal agent,,3010
"Reasons an investment in your organization will accomplish the goals set out in the RFP. Could include organization's partnerships, awards, outcomes, certifications, etc.",Organizational Effectiveness,,2927
,Who will be leading this request,,2966
,Counties Served,,2956
,Organizational Demographics Attachment Template,,10064
"If you intend this effort to be ongoing, describe how you hope to sustain funding to support the effort. We know this is a difficult question. We are simply interested in your thinking thus far.",Future Funding,,3002
,Organizational Demographics,,2935
,Alignment with the RFP,,2954
,Community Initiative Alignment,,2931
,Upload organizational demographics,,2976
,Measurement Methods,,2994
,Upload project budget,,2972
,Top 5 Funding Sources,,2929
,Upload income statement and balance sheet (2 years),,2974
,Past Results,,2996
Request Category Choose one: Educational Success RFP Environmental Beautification RFP Inclusive Communities RFP Medical Research RFP Safety Net RFP Vibrant Arts & Culture RFP Other,"If other, please explain",,2916
,Program/Project Budget,,10058
,Impact of Partial Funding,,2998
,Amount of Request,,2920
,"Please check any of the following approaches that your organization currently uses to promote
racial equity and describe in the box below",,2933
,Request Overview,,10036
,"Evaluation and Funding
Key Event/Activities",,2983
,Performance Measure #2,,2990
,Upload additional attachments if specified in RFP,,2978
,Performance Measure #3,,10088
,To which Funding Focus are you responding,,2952
,Other Funders,,3004
,Upload Attachments,,10066
,Permission to share with donors & other funders,,2980
,Key Event/Activities,,10079
,Request Category,,2896
,Racial Equity Approach,,10017
,Balance Sheet & Income Statement,,10063
,Balance Sheet and Income Statement,,10061
,Request Goals,,2986
,Community Opportunity,,10038
,Renewed <REDACTED> Funding,,3000
THIS SAMPLE FORM IS PROVIDED TO HELP YOU PREPARE TO APPLY FOR THE <REDACTED> FORM. YOU _MUST_ USE OUR ONLINE PORTAL TO APPLY FOR A GRANT. WE WILL NOT CONSIDER APPLICATION FORMS SENT BY POST OR EMAIL.,Your capital project,,3502
THIS SAMPLE FORM IS PROVIDED TO HELP YOU PREPARE TO APPLY FOR THE <REDACTED> FORM. YOU _MUST_ USE OUR ONLINE PORTAL TO APPLY FOR A GRANT. WE WILL NOT CONSIDER APPLICATION FORMS SENT BY POST OR EMAIL.,Building projects,,3504
THIS SAMPLE FORM IS PROVIDED TO HELP YOU PREPARE TO APPLY FOR THE <REDACTED> FORM. YOU _MUST_ USE OUR ONLINE PORTAL TO APPLY FOR A GRANT. WE WILL NOT CONSIDER APPLICATION FORMS SENT BY POST OR EMAIL.,Your organisation's finances,,3500
THIS SAMPLE FORM IS PROVIDED TO HELP YOU PREPARE TO APPLY FOR THE <REDACTED> FORM. YOU _MUST_ USE OUR ONLINE PORTAL TO APPLY FOR A GRANT. WE WILL NOT CONSIDER APPLICATION FORMS SENT BY POST OR EMAIL.,Location of the project,,3503
THIS SAMPLE FORM IS PROVIDED TO HELP YOU PREPARE TO APPLY FOR THE <REDACTED> FORM. YOU _MUST_ USE OUR ONLINE PORTAL TO APPLY FOR A GRANT. WE WILL NOT CONSIDER APPLICATION FORMS SENT BY POST OR EMAIL.,Accounts,,3501
,Telephone,,2001
,EIN/BRIDGE ID,,2003
,PROJECT DESCRIPTION,,2012
,Describe Your Organization,,2019
[Do you agree to],Terms & Conditions,,2021
,Organization URL,,2004
,ORGANIZATION DESCRIPTION,,2017
,Describe Your Project,,2014
,ZIP/Postal Code,,2010
,Email Copy to Inquirer,,2020
ORGANIZATION INFORMATION,Country,,2011
ORGANIZATION INFORMATION,City,,2008
ORGANIZATION INFORMATION,State/Province/Region,,2009
ORGANIZATION INFORMATION,Address Line,,2007
ORGANIZATION INFORMATION,Street Address,,2006
,Estimated Project Cost,,2015
,Current income/expense statement,,2511
,"How do you measure the effectiveness of your organization, including impact/outcomes in our community and use of resources?",,9010
,How do you ensure your organization is continuously improving?,,9011
,"What outcomes do you anticipate from this program or capital
        project",,2505
,How do you measure the effectiveness of your organization,,2500
,How do you ensure your organization is continuously improving,,2501
,"If your organization is unable to upload a balance sheet and
        income/expense statement, please explain",,2513
,Type of Grant,,2489
,Org Name,,2478
,"What were your organization’s top 3 outcomes or accomplishments
        in the previous 12 months",,2496
,Brief Purpose of Request,,2494
,Grant Contact Name (if different than CEO),,8994
,Grant Contact Title,,2485
,"How do you measure the effectiveness of this program/project, in
        terms of impact/outcomes and use of resources",,2507
,"Describe the impact/outcomes of your program/project on
        the community",,2503
,Chief Executive Officer’s Name,,2481
,"Project budget if applying for Program or Capital
        grant",,2512
,Current balance sheet,,2510
,CEO Phone,,2483
,CEO Email,,2482
,"What community opportunities, challenges, issues or needs are
        you currently addressing",,2498
,Year-to-date balance sheet and income statement (from within the last three months),,3323
,REQUESTED GRANT AMOUNT,,3331
,"Letter of Agreement between your organization and fiscal sponsor, if applicable",,3329
,Organizational/Programmatic Developments or Highlights,,3339
,IRS 501(c)(3) tax-exempt determination letter,,3324
,Secured and Projected Foundation Revenue,,3313
,"Describe the community you serve. Include population demographics, numbers served, and geographic reach",,3310
